Humidity,Temperature,MQ139,TVOC,eCO2,Detector,Status,Cause
39.0,22.0,70,76,447,0,1,electrical/clothing
39.1,22.0,69,75,443,0,1,electrical/clothing
39.1,22.0,69,77,440,0,1,electrical/clothing
39.0,21.9,69,77,444,0,1,electrical/clothing
39.0,21.9,69,77,447,0,1,electrical/clothing
39.1,22.0,69,77,445,0,1,electrical/clothing
39.1,21.9,70,85,446,0,1,electrical/clothing
39.1,21.9,70,81,451,0,1,electrical/clothing
39.1,21.9,70,84,441,0,1,electrical/clothing
39.1,22.0,69,80,444,0,1,electrical/clothing
39.1,21.9,69,84,444,0,1,electrical/clothing
39.1,21.9,69,78,440,0,1,electrical/clothing
39.1,21.9,70,78,448,0,1,electrical/clothing
39.1,22.0,70,79,440,0,1,electrical/clothing
39.1,21.9,70,79,442,0,1,electrical/clothing
39.1,21.9,70,82,448,0,1,electrical/clothing
39.1,21.9,70,79,441,0,1,electrical/clothing
39.1,21.9,70,80,448,0,1,electrical/clothing
39.1,21.9,70,80,445,0,1,electrical/clothing
39.1,21.9,70,85,449,0,1,electrical/clothing
39.1,21.9,70,82,438,0,1,electrical/clothing
39.1,21.9,70,77,450,0,1,electrical/clothing
39.1,21.9,70,81,448,0,1,electrical/clothing
39.2,21.9,70,81,451,0,1,electrical/clothing
39.2,21.9,70,82,448,0,1,electrical/clothing
39.2,21.9,70,78,447,0,1,electrical/clothing
39.2,21.9,70,82,439,0,1,electrical/clothing
39.2,21.9,70,80,436,0,1,electrical/clothing
39.2,21.9,70,77,435,0,1,electrical/clothing
39.2,21.9,70,76,433,0,1,electrical/clothing
39.2,21.9,70,78,443,0,1,electrical/clothing
39.2,21.9,70,75,433,0,1,electrical/clothing
39.2,21.9,70,75,439,0,1,electrical/clothing
39.2,21.9,70,77,445,0,1,electrical/clothing
39.2,21.9,70,72,439,0,1,electrical/clothing
39.2,21.9,70,75,438,0,1,electrical/clothing
39.2,21.9,70,73,440,0,1,electrical/clothing
39.2,21.9,70,73,429,0,1,electrical/clothing
39.3,21.9,70,69,429,0,1,electrical/clothing
39.2,21.9,70,73,445,0,1,electrical/clothing
39.2,21.9,70,77,445,0,1,electrical/clothing
39.2,21.9,70,76,436,0,1,electrical/clothing
39.3,21.9,70,78,433,0,1,electrical/clothing
39.2,21.9,70,77,434,0,1,electrical/clothing
39.3,21.9,70,72,435,0,1,electrical/clothing
39.3,21.9,70,79,440,0,1,electrical/clothing
39.3,21.9,70,78,440,0,1,electrical/clothing
39.3,21.9,70,75,433,0,1,electrical/clothing
39.2,21.9,70,78,439,0,1,electrical/clothing
39.2,21.9,70,80,445,0,1,electrical/clothing
39.2,21.9,70,82,445,0,1,electrical/clothing
39.2,21.9,70,77,442,0,1,electrical/clothing
39.2,21.9,70,81,443,0,1,electrical/clothing
39.2,21.9,70,77,443,0,1,electrical/clothing
39.2,21.9,70,82,441,0,1,electrical/clothing
39.3,21.9,70,81,445,0,1,electrical/clothing
39.2,21.9,71,82,437,0,1,electrical/clothing
39.2,21.9,70,84,438,0,1,electrical/clothing
39.2,21.9,70,81,445,0,1,electrical/clothing
39.2,21.9,70,81,445,0,1,electrical/clothing
39.3,21.9,71,80,445,0,1,electrical/clothing
39.3,21.9,70,86,449,0,1,electrical/clothing
39.3,21.9,70,90,445,0,1,electrical/clothing
39.3,21.9,70,84,445,0,1,electrical/clothing
39.3,21.9,70,92,453,0,1,electrical/clothing
39.3,21.9,71,89,452,0,1,electrical/clothing
39.3,21.9,70,97,452,0,1,electrical/clothing
39.3,21.9,71,87,446,0,1,electrical/clothing
39.3,21.9,70,88,442,0,1,electrical/clothing
39.3,21.9,70,86,441,0,1,electrical/clothing
39.3,21.9,70,91,445,0,1,electrical/clothing
39.3,21.9,70,92,448,0,1,electrical/clothing
39.3,21.9,70,94,454,0,1,electrical/clothing
39.2,21.9,70,93,445,0,1,electrical/clothing
39.2,21.9,71,94,455,0,1,electrical/clothing
